,source_text,plagiarized_text,label
268,The Pacific Ocean's name means 'peaceful ocean'.,The name of the Pacific Ocean means 'peaceful ocean'.,1
269,The Milky Way is part of the Local Group of galaxies.,The Local Group of galaxies includes the Milky Way.,1
270,Saturn's largest moon is Titan.,Titan is Saturn's largest moon.,1
272,The Great Barrier Reef is located off the coast of Australia.,Off the coast of Australia is the Great Barrier Reef.,1
273,Venus has a day longer than its year.,A day on Venus is longer than its year.,1
274,Sharks have been around for over 400 million years.,"For over 400 million years, sharks have existed.",1
275,The human brain is protected by the skull.,The skull protects the human brain.,1
276,Albert Einstein's theory of relativity revolutionized physics.,Physics was revolutionized by Albert Einstein's theory of relativity.,1
277,DNA carries genetic information.,Genetic information is carried by DNA.,1
281,Innovation drives the economy forward.,The economy progresses through innovation.,0
282,Education is the key to personal growth.,Personal growth hinges on education.,0
283,Nature walks can be very relaxing.,Walking in nature is a great way to relax.,0
284,Healthy relationships are built on trust.,Trust is the foundation of healthy relationships.,0
285,Creative hobbies can reduce stress.,Engaging in creative hobbies lowers stress levels.,0
286,Technology connects people globally.,People around the world are connected by technology.,0
287,Reading enhances cognitive abilities.,Cognitive skills are improved by reading.,0
288,Travel exposes you to new experiences.,New experiences come from traveling.,0
289,Volunteering gives a sense of fulfillment.,A sense of fulfillment is gained through volunteering.,0
290,Listening to music can boost your mood.,Your mood can be lifted by listening to music.,0
291,Reading regularly improves vocabulary.,Vocabulary is improved through regular reading.,0
292,Traveling broadens cultural understanding.,Cultural understanding is broadened by traveling.,0
293,Music can uplift one's mood.,One's mood can be uplifted by music.,0
294,Healthy relationships contribute to happiness.,Happiness is increased by healthy relationships.,0
295,Hobbies can reduce stress levels.,Stress levels are reduced by engaging in hobbies.,0
296,Regular check-ups maintain health.,Health is maintained through regular check-ups.,0
297,Exercise boosts mental health.,Mental health is boosted by exercise.,0
298,Creative writing fosters imagination.,Imagination is fostered by creative writing.,0
299,Public speaking skills are valuable.,Valuable skills include public speaking.,0
300,Cooking at home can be healthier.,Healthier meals can be made by cooking at home.,0
301,Social interactions can enhance well-being.,Well-being is enhanced by social interactions.,0
302,Learning history helps us avoid past mistakes.,Past mistakes are avoided by learning history.,0
303,Nature walks can be rejuvenating.,Rejuvenation can be found in nature walks.,0
304,Good financial habits lead to security.,Financial security is achieved through good habits.,0
305,Writing regularly can improve clarity of thought.,Clarity of thought is improved by regular writing.,0
306,Strong leadership inspires others.,Others are inspired by strong leadership.,0
307,Cultural diversity enriches communities.,Communities are enriched by cultural diversity.,0
308,Mindfulness practices improve focus.,Focus is improved by mindfulness practices.,0
309,Positive feedback boosts confidence.,Confidence is boosted by positive feedback.,0
310,Scientific research drives innovation.,Innovation is driven by scientific research.,0
311,Studying regularly improves academic performance.,Academic performance improves with regular studying.,0
312,A balanced diet promotes overall health.,Overall health is promoted by a balanced diet.,0
313,Meditation helps in reducing stress.,Stress is reduced by practicing meditation.,0
314,Team sports build cooperation skills.,Cooperation skills are built through team sports.,0
315,A good night's sleep enhances productivity.,Productivity is enhanced by a good night's sleep.,0
316,Recycling conserves natural resources.,Natural resources are conserved through recycling.,0
317,Reading fiction enhances creativity.,Creativity is enhanced by reading fiction.,0
318,Volunteering increases community engagement.,Community engagement is increased through volunteering.,0
319,Learning a new language improves cognitive abilities.,Cognitive abilities are improved by learning a new language.,0
320,Practicing gratitude boosts mental health.,Mental health is boosted by practicing gratitude.,0
321,Proper hydration is essential for bodily functions.,Bodily functions rely on proper hydration.,0
322,Artistic activities can be therapeutic.,Therapy can be found in artistic activities.,0
323,Regular exercise strengthens the immune system.,The immune system is strengthened by regular exercise.,0
324,Financial literacy leads to better money management.,Better money management is a result of financial literacy.,0
325,Spending time outdoors enhances well-being.,Well-being is enhanced by spending time outdoors.,0
326,Time management skills improve efficiency.,Efficiency is improved by time management skills.,0
327,Gardening can be a relaxing hobby.,Relaxation can be found in gardening.,0
328,Historical knowledge provides valuable insights.,Valuable insights are gained from historical knowledge.,0
329,Physical activity reduces the risk of chronic diseases.,The risk of chronic diseases is reduced by physical activity.,0
330,Effective communication strengthens relationships.,Relationships are strengthened by effective communication.,0
331,Yoga improves flexibility and balance.,Flexibility and balance are improved by yoga.,0
332,Good hygiene practices prevent illness.,Illness is prevented by good hygiene practices.,0
333,Critical thinking enhances problem-solving abilities.,Problem-solving abilities are enhanced by critical thinking.,0
334,Listening to music can be relaxing.,Relaxation can be achieved by listening to music.,0
335,Gardening provides a sense of accomplishment.,A sense of accomplishment is found in gardening.,0
336,Learning new skills boosts self-confidence.,Self-confidence is boosted by learning new skills.,0
337,Spending time with loved ones improves mental health.,Mental health is improved by spending time with loved ones.,0
338,Reading non-fiction enhances knowledge.,Knowledge is enhanced by reading non-fiction.,0
339,Playing board games can improve strategic thinking.,Strategic thinking is improved by playing board games.,0
340,Practicing mindfulness reduces anxiety.,Anxiety is reduced by practicing mindfulness.,0
341,Cooking can be a creative outlet.,Creativity can be expressed through cooking.,0
342,Traveling expands one's perspective.,Perspectives are expanded through traveling.,0
343,Writing in a journal clarifies thoughts.,Thoughts are clarified by writing in a journal.,0
344,Swimming is an excellent full-body workout.,A full-body workout can be achieved through swimming.,0
345,Reading to children supports their development.,Children's development is supported by reading to them.,0
346,Cycling is a great form of cardiovascular exercise.,Cardiovascular health benefits from cycling.,0
347,Public speaking can enhance leadership skills.,Leadership skills are enhanced by public speaking.,0
348,Photography encourages observation and creativity.,Observation and creativity are encouraged by photography.,0
349,Playing musical instruments enhances coordination.,Coordination is enhanced by playing musical instruments.,0
350,Meditation can improve concentration.,Concentration is improved by meditation.,0
351,Hiking connects people with nature.,Nature connections are made through hiking.,0
352,Learning to code develops logical thinking.,Logical thinking is developed by learning to code.,0
353,Reading science fiction stimulates imagination.,Imagination is stimulated by reading science fiction.,0
354,Knitting can be a soothing activity.,Soothing effects can be found in knitting.,0
355,Attending workshops facilitates skill development.,Skill development is facilitated by attending workshops.,0
356,Gardening teaches patience and persistence.,Patience and persistence are taught through gardening.,0
357,Using planners can enhance organizational skills.,Organizational skills are enhanced by using planners.,0
358,Walking daily improves cardiovascular health.,Cardiovascular health is improved by walking daily.,0
359,Painting allows for creative expression.,Creative expression is allowed through painting.,0
360,Learning history provides context for the present.,Context for the present is provided by learning history.,0
361,Exercising outdoors can boost mood.,Mood is boosted by exercising outdoors.,0
362,Listening actively improves communication.,Communication is improved by active listening.,0
363,Playing chess enhances strategic thinking.,Strategic thinking is enhanced by playing chess.,0
364,Practicing gratitude fosters a positive mindset.,A positive mindset is fostered by practicing gratitude.,0
365,Volunteering creates a sense of community.,A sense of community is created through volunteering.,0
366,Creative hobbies can alleviate stress.,Stress is alleviated by engaging in creative hobbies.,0
367,Writing essays improves argumentative skills.,Argumentative skills are improved by writing essays.,0
368,Keeping a journal can enhance self-awareness.,Self-awareness is enhanced by keeping a journal.,0
369,Dancing improves physical fitness.,Physical fitness is improved by dancing.,0
370,Reading biographies offers life lessons.,Life lessons are offered by reading biographies.,0
371,Mindfulness meditation enhances emotional regulation.,Emotional regulation is enhanced by mindfulness meditation.,0
372,Playing team sports builds camaraderie.,Camaraderie is built through playing team sports.,0
373,Gardening provides physical exercise.,Physical exercise is provided by gardening.,0
374,Learning a musical instrument can be fulfilling.,Fulfillment can be found in learning a musical instrument.,0
375,Playing strategy games develops critical thinking.,Critical thinking is developed by playing strategy games.,0
376,Attending seminars broadens knowledge.,Knowledge is broadened by attending seminars.,0
377,Painting can be a meditative activity.,Meditation can be found in painting.,0
378,Journaling can be a therapeutic activity.,Therapy can be found in journaling.,0
379,Socializing reduces feelings of loneliness.,Feelings of loneliness are reduced by socializing.,0
380,Cooking from scratch promotes healthier eating.,Healthier eating is promoted by cooking from scratch.,0
381,Gardening teaches responsibility and care.,Responsibility and care are taught through gardening.,0
382,Practicing yoga improves mental clarity.,Mental clarity is improved by practicing yoga.,0
383,Photography captures memories.,Memories are captured through photography.,0
384,Reading improves language skills.,Language skills are improved by reading.,0
385,Learning about different cultures enhances empathy.,Empathy is enhanced by learning about different cultures.,0
386,Practicing mindfulness reduces stress.,Stress is reduced by practicing mindfulness.,0
387,Regular exercise improves physical health.,Physical health is improved by regular exercise.,0
388,Listening to music can elevate mood.,Mood is elevated by listening to music.,0
389,Gardening provides a connection to nature.,A connection to nature is provided by gardening.,0
390,Writing essays enhances research skills.,Research skills are enhanced by writing essays.,0
391,Volunteering builds a sense of purpose.,A sense of purpose is built through volunteering.,0
392,Swimming provides a full-body workout.,A full-body workout is provided by swimming.,0
393,Cycling improves cardiovascular health.,Cardiovascular health is improved by cycling.,0
394,Cooking at home promotes family bonding.,Family bonding is promoted by cooking at home.,0
395,Learning history helps understand societal development.,Societal development is understood by learning history.,0
396,Reading fiction improves empathy.,Empathy is improved by reading fiction.,0
397,Playing musical instruments enhances creativity.,Creativity is enhanced by playing musical instruments.,0
398,Studying history helps in understanding the present.,Understanding the present is aided by studying history.,0
399,Listening to classical music can improve focus.,Focus is improved by listening to classical music.,0
400,Practicing yoga enhances physical flexibility.,Physical flexibility is enhanced by practicing yoga.,0
401,Volunteering fosters community spirit.,Community spirit is fostered by volunteering.,0
